Time (us),Address,RSSI (dBm),Raw data,Connectable,Addr Type
24584114085,DF:F7:AE:55:E9:40,-22,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24586106749,DF:F7:AE:55:E9:40,-24,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24588112556,DF:F7:AE:55:E9:40,-24,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24590121161,DF:F7:AE:55:E9:40,-27,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24594131832,DF:F7:AE:55:E9:40,-22,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24596136963,DF:F7:AE:55:E9:40,-22,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24598140333,DF:F7:AE:55:E9:40,-25,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24600157024,DF:F7:AE:55:E9:40,-24,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24602155905,DF:F7:AE:55:E9:40,-28,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24604151862,DF:F7:AE:55:E9:40,-28,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24606204442,DF:F7:AE:55:E9:40,-22,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24608168256,DF:F7:AE:55:E9:40,-22,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24610166313,DF:F7:AE:55:E9:40,-24,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24612167705,DF:F7:AE:55:E9:40,-25,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24614170783,DF:F7:AE:55:E9:40,-27,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24616171240,DF:F7:AE:55:E9:40,-22,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24618171375,DF:F7:AE:55:E9:40,-22,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24620186275,DF:F7:AE:55:E9:40,-24,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24622187021,DF:F7:AE:55:E9:40,-25,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24626201369,DF:F7:AE:55:E9:40,-27,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24628237395,DF:F7:AE:55:E9:40,-22,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24630204460,DF:F7:AE:55:E9:40,-22,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24632206035,DF:F7:AE:55:E9:40,-24,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24634209937,DF:F7:AE:55:E9:40,-24,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24636216742,DF:F7:AE:55:E9:40,-27,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24638218089,DF:F7:AE:55:E9:40,-29,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24640222435,DF:F7:AE:55:E9:40,-22,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24642231307,DF:F7:AE:55:E9:40,-22,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24644233961,DF:F7:AE:55:E9:40,-24,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24646236500,DF:F7:AE:55:E9:40,-24,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
