Timestamp,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyroscope_X,Gyroscope_Y,Gyroscope_Z,Magnetometer_X,Magnetometer_Y,Magnetometer_Z,Gravity_X,Gravity_Y,Gravity_Z,Orientation_Azimuth,Position_X,Position_Y,Linear_Acceleration_X,Linear_Acceleration_Y,Linear_Acceleration_Z,Step_Count
2026-01-07 14:13:25.990,-0.961272,4.3035774,8.589199,-0.091077425,-0.005193011,0.022503048,52.65,-17.38125,-17.925001,-1.0067091,4.3972797,8.707518,264.31677,0.0,0.0,0.045437098,-0.09370232,-0.11831856,0
2026-01-07 14:13:26.039,-1.0462662,4.369418,8.686762,-0.07616416,-0.007323477,0.024633514,52.968754,-17.60625,-17.79375,-1.0023011,4.356911,8.728292,264.30893,0.0,0.0,-0.0439651,0.012506962,-0.04153061,0
2026-01-07 14:13:26.089,-1.0187328,4.1958385,8.71669,-0.0484681,-0.049932797,0.049133874,53.025,-17.85,-17.94375,-0.98388714,4.3264556,8.745522,263.5019,0.0,0.0,-0.03484565,-0.13061714,-0.028831482,0
2026-01-07 14:13:26.139,-0.919972,4.289212,8.729858,-0.119838715,0.027829213,0.022503048,52.7625,-17.8875,-18.13125,-0.96999997,4.294195,8.762955,263.53806,0.0,0.0,0.050027966,-0.0049829483,-0.033096313,0
2026-01-07 14:13:26.188,-0.98222125,4.301183,8.55987,-0.10705592,-0.007323477,0.0118507175,52.406254,-17.587502,-18.300001,-0.9681155,4.2553887,8.782073,264.3056,0.0,0.0,-0.014105737,0.043400288,-0.20364857,0
2026-01-07 14:13:26.238,-1.074398,4.231153,8.534731,-0.30199355,0.085351795,0.059786204,52.593754,-17.60625,-18.54375,-0.98659134,4.191529,8.810681,264.52612,0.0,0.0,-0.0878067,0.039624214,-0.27595043,0
2026-01-07 14:13:26.288,-1.2354081,4.39755,9.147646,-0.32116777,-0.021171506,-0.012649642,52.3875,-17.625,-19.237501,-0.9929841,4.0377574,8.881491,264.56265,0.0,0.0,-0.24242395,0.3597927,0.26615524,0
2026-01-07 14:13:26.338,-1.0875661,3.855862,8.713099,-0.48521364,0.0118507175,0.10985216,52.537502,-17.38125,-20.493752,-0.9975326,3.887059,8.947966,264.104,0.0,0.0,-0.09003353,-0.031197071,-0.2348671,0
2026-01-07 14:13:26.388,-1.2180501,3.8780081,8.881291,-0.5224968,-0.05738943,0.23554966,52.237503,-17.5125,-21.618752,-0.9768622,3.6775355,9.038354,264.44122,0.0,0.0,-0.24118793,0.2004726,-0.15706253,0
2026-01-07 14:13:26.438,-0.83856916,3.232771,9.200917,-0.58641076,-0.22463101,0.3111812,51.750004,-17.23125,-22.5,-0.8794072,3.430536,9.144859,261.59543,0.0,0.0,0.040838063,-0.19776511,0.05605793,0
2026-01-07 14:13:26.489,-0.7457938,3.2842462,9.185355,-0.40745163,-0.1436733,0.32289875,50.625004,-17.6625,-23.6625,-0.7213666,3.2019415,9.241081,261.39633,0.0,0.0,-0.024427235,0.082304716,-0.05572605,0
2026-01-07 14:13:26.540,-0.3597288,2.8682537,9.757569,-0.36058137,-0.30984965,0.23768012,49.912502,-18.075,-25.275002,-0.59949857,3.0211086,9.310418,258.86945,0.0,0.0,0.23976976,-0.15285492,0.44715118,0
2026-01-07 14:13:26.590,-0.15143326,2.6384103,9.248202,-0.28281936,-0.51024663,0.085351795,49.218754,-17.75625,-26.025002,-0.3612639,2.8593059,9.373593,258.73642,0.0,0.0,0.20983064,-0.22089553,-0.125391,0
