PC_Beijing_Time,Time (us),Address,RSSI (dBm),Raw Data,adv_data_len,scan_rsp_len,Connectable,Addr Type,Adv Event Type
2026-05-03 05:42:26.273,2868253085,db:c9:83:9f:37:a3,-20,0x1AFF4C0012022E00071106438816CFCA2751FFA73CD8DA86CE628D,27,0,0,1,0
2026-05-03 05:42:28.296,2870268610,db:c9:83:9f:37:a3,-19,0x1AFF4C0012022E00071106438816CFCA2751FFA73CD8DA86CE628D,27,0,0,1,0
2026-05-03 05:42:30.288,2872280856,db:c9:83:9f:37:a3,-20,0x1AFF4C0012022E00071106438816CFCA2751FFA73CD8DA86CE628D,27,0,0,1,0
2026-05-03 05:42:32.337,2874308012,db:c9:83:9f:37:a3,-20,0x1AFF4C0012022E00071106438816CFCA2751FFA73CD8DA86CE628D,27,0,0,1,0
2026-05-03 05:42:34.325,2876313394,db:c9:83:9f:37:a3,-21,0x1AFF4C0012022E00071106438816CFCA2751FFA73CD8DA86CE628D,27,0,0,1,0
2026-05-03 05:42:36.320,2878306594,db:c9:83:9f:37:a3,-21,0x1AFF4C0012022E00071106438816CFCA2751FFA73CD8DA86CE628D,27,0,0,1,0
2026-05-03 05:42:40.376,2882289988,db:c9:83:9f:37:a3,-19,0x1AFF4C0012022E00071106438816CFCA2751FFA73CD8DA86CE628D,27,0,0,1,0
2026-05-03 05:42:42.320,2884293779,db:c9:83:9f:37:a3,-20,0x1AFF4C0012022E00071106438816CFCA2751FFA73CD8DA86CE628D,27,0,0,1,0
2026-05-03 05:42:44.322,2886303407,db:c9:83:9f:37:a3,-20,0x1AFF4C0012022E00071106438816CFCA2751FFA73CD8DA86CE628D,27,0,0,1,0
2026-05-03 05:42:46.335,2888311949,db:c9:83:9f:37:a3,-21,0x1AFF4C0012022E00071106438816CFCA2751FFA73CD8DA86CE628D,27,0,0,1,0
2026-05-03 05:42:48.337,2890322843,db:c9:83:9f:37:a3,-21,0x1AFF4C0012022E00071106438816CFCA2751FFA73CD8DA86CE628D,27,0,0,1,0
2026-05-03 05:42:50.454,2892327101,db:c9:83:9f:37:a3,-20,0x1AFF4C0012022E00071106438816CFCA2751FFA73CD8DA86CE628D,27,0,0,1,0
2026-05-03 05:42:52.356,2894336217,db:c9:83:9f:37:a3,-19,0x1AFF4C0012022E00071106438816CFCA2751FFA73CD8DA86CE628D,27,0,0,1,0
